"id_display","category","question","correct_answer","created_at"
"3449","aircrafts","Sur quelle version du Boeing 777 la version F est elle basée ?","200 LR","2025-08-28T18:24:59.663+00:00"
"3450","network","Quelles sont les destinations au Brésil qu’Air France ne dessert pas ?","Belem","2025-08-28T18:24:59.663+00:00"
"3458","history","Qui a effectué le premier vol motorisé à Kitty Hawk en 1903 ?","Les Frères Wright","2025-08-29T09:43:31.318+00:00"
"3459","theory","A quoi sert le TAF ?","Prévoir la météo d'un aérodrome","2025-08-29T09:43:31.318+00:00"
"3460","aircrafts","Quel avion commercial, entré en service en 2011, utilise beaucoup de matériaux composites pour être plus léger ?","Boeing 787","2025-08-29T09:43:31.318+00:00"
"3462","theory","Lors d’un atterrissage piste 18 avec un vent venant du 170° pour 8 kt, de quel type de vent s’agit-il ?","Vent de face","2025-08-29T12:14:58.911+00:00"
"3463","theory","Quel est le rôle principal d’un empennage horizontal sur un avion ?","Assurer la stabilité en tangage","2025-08-29T13:26:50.552+00:00"
"3464","aircrafts","Quelle est l’altitude standard de croisière d’un avion de ligne long-courrier moderne (ex. Boeing 777, Airbus A350) ?","9 000 à 12 000 m","2025-08-29T13:26:50.552+00:00"
"22","airports","Quel est le code aita de Bordeaux-Merignac ?","BOD","2024-08-16T13:19:23.97+00:00"
"3","theory","Sous quelle nuage peut-on observer les averses?","gros cumulus, cumulonimbus","2024-08-22T21:09:48.203+00:00"
"5","airline","Comment s'appelle la branche de maintenance de Air France ?","Air France Industries","2024-08-22T13:12:45.822+00:00"
"8","geography","De quel pays Ventiane est-elle la capitale?","Laos","2024-08-22T05:20:48.052+00:00"
"11","theory","Une Piste 18 est orentiée face ?","au Sud","2024-08-20T15:13:13.225+00:00"
"12","airline","Combien de pilotes étaient en fonction en 2023 ?","4 276","2024-08-20T15:02:31.245+00:00"
"15","history","Année de constitution de l'alliance SKYTEAM ?","2000","2024-08-16T16:44:16.092+00:00"
"16","fleet","Année d'entrée en service de l' A380 chez AF ?","2009","2024-08-16T16:44:16.092+00:00"
"19","geography","Quelle est la capitale de Sierra Leone ?","Freetown","2024-08-16T07:48:56.224+00:00"
"21","airports","En quelle année l'aéroport de Nice a-t-il été ouvert à la circulation ?","1946","2024-08-15T20:40:04.227+00:00"
"23","airports","Quel est l’ICAO (International Civil Aviation Organization) code de l’aéroport international de Los Angeles ?","KLAX","2024-08-14T11:48:44.252+00:00"
